ori,agency_name,location,location_type,county
sc0080000,berkeley-county-sheriffs-office,berkeley,county,berkeley
sc0010000,abbeville-county-sheriffs-office,abbeville,county,abbeville
sc0010100,abbeville-police-department,abbeville,city-town,abbeville
sc0010200,calhoun-falls-police-department,calhoun-falls,city-town,abbeville
sc0010400,due-west-police-department,due-west,city-town,abbeville
sc0012600,state-transport-police:-abbeville-county,abbeville,county,abbeville
sc001990x,department-of-health-and-environmental-control-drug-control:,abbeville,county,abbeville
sc0019e00,erskine-college,due-west,city-town,abbeville
sc001fc00,forestry-commission:-abbeville-county,abbeville,county,abbeville
sc001nr00,department-of-natural-resources:-abbeville-county,abbeville,county,abbeville
sc001sp00,highway-patrol:-abbeville-county,abbeville,county,abbeville
sc0020000,aiken-county-sheriffs-office,aiken,county,aiken
sc0020100,aiken-police-department,aiken,city-town,aiken
sc0020300,north-augusta-police-department,north-augusta,city-town,aiken
sc0020400,burnettown-police-department,bath,city-town,aiken
sc0020500,jackson-police-department,jackson,city-town,aiken
sc0020600,new-ellenton-police-department,new-ellenton,city-town,aiken
sc0020700,salley-police-department,salley,city-town,aiken
sc0020800,wagener-police-department,wagener,city-town,aiken
sc0021000,united-states-department-of-energy-savannah-river-plant,aiken,county,aiken
sc0021400,perry-police-department,perry,city-town,aiken
sc0021500,university-of-south-carolina:-aiken,aiken,city-town,aiken
sc0022600,state-transport-police:-aiken-county,aiken,county,aiken
sc002990x,department-of-health-and-environmental-control-drug-control:,aiken,county,aiken
sc002fc00,forestry-commission:-aiken-county,aiken,county,aiken
sc002nr00,department-of-natural-resources:-aiken-county,aiken,county,aiken
sc002sp00,highway-patrol:-aiken-county,aiken,county,aiken
sc0030000,allendale-county-sheriffs-office,allendale,county,allendale
sc0030100,allendale-police-department,allendale,city-town,allendale
sc0030200,fairfax-police-department,fairfax,city-town,allendale
sc0032600,state-transport-police:-allendale-county,allendale,county,allendale
sc003fc00,forestry-commission:-allendale-county,allendale,county,allendale
sc003nr00,department-of-natural-resources:-allendale-county,allendale,county,allendale
sc003sp00,highway-patrol:-allendale-county,allendale,county,allendale
sc0040000,anderson-county-sheriffs-office,anderson,county,anderson
sc0040100,anderson-police-department,anderson,city-town,anderson
sc0040200,belton-police-department,belton,city-town,anderson
sc0040300,honea-path-police-department,honea-path,city-town,anderson
sc0040400,pendleton-police-department,pendleton,city-town,anderson
sc0040500,williamston-police-department,williamston,city-town,anderson
sc0040600,iva-police-department,duncan,city-town,anderson
sc0041000,west-pelzer-police-department,west-pelzer,city-town,anderson
sc0041100,tri-county-technical-college,anderson,county,anderson
sc0042600,state-transport-police:-anderson-county,anderson,county,anderson
sc004990x,department-of-health-and-environmental-control-drug-control:,anderson,county,anderson
sc004fc00,forestry-commission:-anderson-county,anderson,county,anderson
sc004nr00,department-of-natural-resources:-anderson-county,anderson,county,anderson
sc004sp00,highway-patrol:-anderson-county,anderson,county,anderson
sc0050000,bamberg-county-sheriffs-office,bamberg,county,bamberg
sc0050100,bamberg-police-department,bamberg,city-town,bamberg
